,"Tonja,""Driesenga"",""First Ozaukee Savings Bank"",""8 South John St"",""Lamport"",""Northamptonshire"",""NN6 9XW"",""01683-204727"",""01384-883931"",""tdriesenga@driesenga.co.uk"",""http://www.firstozaukeesavingsbank.co.uk"""
0,"Shaquana,""Featherston"",""General Truck Part & Equipment"",""50 Townsend St"",""Chadderton Central Ward"",""Greater Manchester"",""OL9 0NS"",""01641-726098"",""01327-255886"",""shaquana@hotmail.com"",""http://www.generaltruckpartequipment.co.uk"""
1,"Gilberto,""Feagins"",""Finlay, Joseph B Jr"",""7643 Campbell St"",""Penge and Cator Ward"",""Greater London"",""BR3 1LT"",""01304-758732"",""01315-831243"",""gfeagins@gmail.com"",""http://www.finlayjosephbjr.co.uk"""
2,"Rex,""Faehnle"",""Hering, Glenn Z Esq"",""371 Oakleigh"",""Warminster"",""Wiltshire"",""BA12 8NR"",""01955-496773"",""01529-779988"",""rfaehnle@faehnle.co.uk"",""http://www.heringglennzesq.co.uk"""
3,"Adolph,""Cunningham"",""Moorhead, Bridget Klein Esq"",""9874 Oakfield Rd"",""Redhill Ward"",""Tyne and Wear"",""SR5 5PT"",""01731-429712"",""01252-511174"",""adolph_cunningham@hotmail.com"",""http://www.moorheadbridgetkleinesq.co.uk"""
4,"Queen,""Leader"",""Ottumwa Glass Co"",""6 Princes St"",""East Kilbride West Ward"",""South Lanarkshire"",""G75 8YR"",""01567-846944"",""01445-288807"",""queen_leader@gmail.com"",""http://www.ottumwaglassco.co.uk"""
5,"Rebbecca,""Rufenacht"",""Ithaca Guitar Works Inc"",""4190 Seacombe St"",""Tiffield"",""Northamptonshire"",""NN12 8AA"",""01583-168158"",""01926-842843"",""rrufenacht@yahoo.com"",""http://www.ithacaguitarworksinc.co.uk"""
6,"Ardella,""Goldrup"",""Bedford Books St Martins Prs"",""3145 Rhyl St"",""Londesborough"",""E Riding of Yorkshire"",""YO43 3QE"",""01813-786468"",""01451-433176"",""ardella.goldrup@goldrup.co.uk"",""http://www.bedfordbooksstmartinsprs.co.uk"""
7,"Dallas,""Miyashiro"",""Em Building Products Inc"",""4919 Lime Grove"",""Whitchurch Urban"",""Cheshire"",""SY13 4HB"",""01356-551432"",""01752-585779"",""dallas_miyashiro@miyashiro.co.uk"",""http://www.embuildingproductsinc.co.uk"""
8,"Vivan,""Jenious"",""Mnpls Arprt Marriott"",""8 Carolina St"",""Northgate Ward"",""West Sussex"",""RH10 8EZ"",""01907-573672"",""01404-240746"",""vjenious@yahoo.com"",""http://www.mnplsarprtmarriott.co.uk"""
9,"Han,""Dzledzic"",""Captain Copy"",""1592 Price St"",""Ponteland"",""Northumberland"",""NE20 9TF"",""01532-163009"",""01303-831633"",""han_dzledzic@hotmail.com"",""http://www.captaincopy.co.uk"""
