,"first_name,""last_name"",""company_name"",""address"",""city"",""county"",""postal"",""phone1"",""phone2"",""email"",""web"""
0,"Aleshia,""Tomkiewicz"",""Alan D Rosenburg Cpa Pc"",""14 Taylor St"",""St. Stephens Ward"",""Kent"",""CT2 7PP"",""01835-703597"",""01944-369967"",""atomkiewicz@hotmail.com"",""http://www.alandrosenburgcpapc.co.uk"""
1,"Evan,""Zigomalas"",""Cap Gemini America"",""5 Binney St"",""Abbey Ward"",""Buckinghamshire"",""HP11 2AX"",""01937-864715"",""01714-737668"",""evan.zigomalas@gmail.com"",""http://www.capgeminiamerica.co.uk"""
2,"France,""Andrade"",""Elliott, John W Esq"",""8 Moor Place"",""East Southbourne and Tuckton W"",""Bournemouth"",""BH6 3BE"",""01347-368222"",""01935-821636"",""france.andrade@hotmail.com"",""http://www.elliottjohnwesq.co.uk"""
3,"Ulysses,""Mcwalters"",""Mcmahan, Ben L"",""505 Exeter Rd"",""Hawerby cum Beesby"",""Lincolnshire"",""DN36 5RP"",""01912-771311"",""01302-601380"",""ulysses@hotmail.com"",""http://www.mcmahanbenl.co.uk"""
4,"Tyisha,""Veness"",""Champagne Room"",""5396 Forth Street"",""Greets Green and Lyng Ward"",""West Midlands"",""B70 9DT"",""01547-429341"",""01290-367248"",""tyisha.veness@hotmail.com"",""http://www.champagneroom.co.uk"""
5,"Eric,""Rampy"",""Thompson, Michael C Esq"",""9472 Lind St"",""Desborough"",""Northamptonshire"",""NN14 2GH"",""01969-886290"",""01545-817375"",""erampy@rampy.co.uk"",""http://www.thompsonmichaelcesq.co.uk"""
6,"Marg,""Grasmick"",""Wrangle Hill Auto Auct & Slvg"",""7457 Cowl St #70"",""Bargate Ward"",""Southampton"",""SO14 3TY"",""01865-582516"",""01362-620532"",""marg@hotmail.com"",""http://www.wranglehillautoauctslvg.co.uk"""
7,"Laquita,""Hisaw"",""In Communications Inc"",""20 Gloucester Pl #96"",""Chirton Ward"",""Tyne & Wear"",""NE29 7AD"",""01746-394243"",""01590-982428"",""laquita@yahoo.com"",""http://www.incommunicationsinc.co.uk"""
8,"Lura,""Manzella"",""Bizerba Usa Inc"",""929 Augustine St"",""Staple Hill Ward"",""South Gloucestershire"",""BS16 4LL"",""01907-538509"",""01340-713951"",""lura@hotmail.com"",""http://www.bizerbausainc.co.uk"""
9,"Yuette,""Klapec"",""Max Video"",""45 Bradfield St #166"",""Parwich"",""Derbyshire"",""DE6 1QN"",""01903-649460"",""01933-512513"",""yuette.klapec@klapec.co.uk"",""http://www.maxvideo.co.uk"""
