,"Vicente,""Rawicki"",""B & S Tool And Cutter Svc Inc"",""3060 St Ambrose Grove #261"",""Aldridge Central and South War"",""West Midlands"",""WS9 8UR"",""01327-770774"",""01286-258121"",""vicente_rawicki@hotmail.com"",""http://www.bstoolandcuttersvcinc.co.uk"""
0,"Craig,""Cua"",""Berry, John M Esq"",""8388 Bessemer St #5"",""East Putney Ward"",""Greater London"",""SW15 2RP"",""01483-418969"",""01818-980469"",""craig@hotmail.com"",""http://www.berryjohnmesq.co.uk"""
1,"Jenise,""Dulle"",""Alden, Michael H Esq"",""87 Pownall Sq"",""Sawston"",""Cambridgeshire"",""CB22 3BB"",""01709-854691"",""01572-193368"",""jenise.dulle@hotmail.com"",""http://www.aldenmichaelhesq.co.uk"""
2,"Marylin,""Cornelison"",""Ernest E Heuer & Company Pc"",""39 Wye St"",""Wakefield North Ward"",""West Yorkshire"",""WF1 1DR"",""01609-882184"",""01295-331807"",""marylin_cornelison@yahoo.com"",""http://www.ernesteheuercompanypc.co.uk"""
3,"Marget,""Gunst"",""Frankel, Stephen"",""2732 Bostock St #1"",""St. Enoder"",""Cornwall"",""TR9 6NJ"",""01693-310794"",""01512-975244"",""mgunst@yahoo.com"",""http://www.frankelstephen.co.uk"""
4,"Annett,""Bunselmeyer"",""Guynes Design Inc"",""5562 Fairfield St #847"",""Ryde"",""Isle of Wight"",""PO33 1HH"",""01891-702579"",""01333-972244"",""abunselmeyer@hotmail.com"",""http://www.guynesdesigninc.co.uk"""
5,"Kip,""Turziano"",""General Appraisal Co"",""37 Meadow St"",""Laindon Park Ward"",""Essex"",""SS15 6LE"",""01850-347846"",""01222-164469"",""kip.turziano@yahoo.com"",""http://www.generalappraisalco.co.uk"""
6,"Melina,""Orizabal"",""Sheraton Inn Ocean Front"",""3 Nevison St"",""Lymington and Pennington"",""Hampshire"",""SO41 1DL"",""01420-307327"",""01245-559333"",""melina@gmail.com"",""http://www.sheratoninnoceanfront.co.uk"""
7,"Tina,""Clapham"",""Cooper Myers Y Co"",""5662 William Moult St"",""Aylesbury"",""Buckinghamshire"",""HP21 8PP"",""01567-296442"",""01493-245349"",""tclapham@gmail.com"",""http://www.coopermyersyco.co.uk"""
8,"Luisa,""Devereux"",""Cash 4 Checks"",""3 North View #35"",""Burmantofts and Richmond Hill "",""West Yorkshire"",""LS9 7JH"",""01607-269930"",""01334-807355"",""ldevereux@gmail.com"",""http://www.cashchecks.co.uk"""
9,"Pedro,""Aschoff"",""Charlotte Chamber"",""135 Opie St"",""Howard Town Ward"",""Derbyshire"",""SK13 8BB"",""01386-981141"",""01823-517315"",""paschoff@yahoo.com"",""http://www.charlottechamber.co.uk"""
10,"Carrol,""Kunimitsu"",""Kisc 98 Kiss Fm"",""1 Askew St"",""Farnham"",""Surrey"",""GU9 9AS"",""01260-641258"",""01415-364461"",""carrol_kunimitsu@yahoo.com"",""http://www.kisckissfm.co.uk"""
